Sonderfall)";Energieträger;"Spezifizierung ""Mehrere Energieträger"" und ""Sonstige Energieträger"" - Hauptbrennstoff";"Spezifizierung ""Mehrere Energieträger"" - Zusatz- / Ersatzbrennstoffe";"Auswertung
Energieträger (Zuordnung zu einem Hauptenergieträger bei Mehreren Energieträgern)";"Vergütungsfähig nach EEG
(ja/nein)";"Wärmeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung (elektrische Wirkleistung) in MW;Bezeichnung Verknüpfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemäß Netzbetreiber;Netz- oder Umspannebene des Anschlusses in kV;Name Stromnetzbetreiber
BNA1484;Erneuerbare Energien Verwaltungs GmbH Dresden;UW Langensalza II;99947;Bad Langensalza;;Thüringen;;2012;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;53,6;UW Bad Langensalza Trafo 105;110;TEN Thüringer Energienetze GmbH
BNA0045;EnBW Energie Baden-Württemberg AG;Rheinkraftwerk Säckingen;79713;Bad Säckingen;Murger Weg 2;Baden-Württemberg;Säckingen;1966;in Betrieb;Laufwasser;;;Laufwasser;Nein;nein;36,8;Säckingen bzw. CH;110;Netze BW GmbH
BNA0046;Schluchseewerk Aktiengesellschaft;Säckingen;79713;Bad Säckingen;Stollenweg 2;Baden-Württemberg;Säckingen;1966;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;360;Kühmoos;220;Amprion/Transnet BW
BNA0047;EREM European Renewable Energy Management GmbH & Co. 8.German Wind KG;;32108;Bad Salzuflen;;Nordrhein-Westfalen;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10,5;;MS;Westfalen Weser Netz GmbH
BNA1105;Thüringer Energie AG;HKW Bad Salzungen;36433;Bad Salzungen;;Thüringen;HKW Bad Salzungen;1994;in Betrieb;Mehrere Energieträger;EG;HEL;Erdgas;Nein;Ja;9,7;UW Bad Salzungen;20;TEN Thüringer Energienetze GmbH
BNA0048;InvestInvent 16. Windpark GmbH & Co. KG;;63628;Bad Soden-Salmünster;;Hessen;;2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,0;;HS/MS;OsthessenNetz GmbH
BNA0049;Windpark Büren GmbH & Co. KG;;33181;Bad Wünnenberg;;Nordrhein-Westfalen;;2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10,0;;HS;Westnetz GmbH
BNA1755;;Windpark Kittelbusch;33181;Bad Wünnenberg;"Gemarkung:Helmern; Flur 6; Flurstück: 1";Nordrhein-Westfalen;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,0;;;
BNA1756;;Windpark Haaren-Leiberg IV (Erweiterung);33181;Bad Wünnenberg;"Gemarkung: Leiberg; Flur: 5; Flurstück: 147";Nordrhein-Westfalen;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10,7;;;
BNA0050;;;39624;Badel;;Sachsen-Anhalt;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;16,5;;HS;HSN Magdeburg GmbH
BNA0051;Cargill Deutschland GmbH;KWK-Anlage Barby;39249;Barby;Monplaisirstr. 22;Sachsen-Anhalt;-;2013;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;17,8;Übergabe Schaltanlage E.ON;20;Avacon AG
BNA1521;Technische Werke Ludwigshafen AG;Solarkraftwerk Barderup;24988;Barderup;;Schleswig-Holstein;;2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;Nein;22,8;UW Barderup Schaltfeld E01 am Mast 14 im Stromkreis Flensburg - Weding grün;110;Schleswig-Holstein Netz AG
BNA0052;;;39179;Barleben;;Sachsen-Anhalt;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10,8;;MS;Avacon AG
