01-50-02000283604,BNA0526,Gemeinschaftskraftwerk Kiel GmbH,Gemeinschaftskraftwerk Kiel,Schleswig-Holstein,1970,in Betrieb,Steinkohle,Ja,323.0
06-05-100-0853075,BNA0990,Steag GmbH,KW West,Nordrhein-Westfalen,1971,in Betrieb,Steinkohle,Nein,322.0
06-05-300-0877384,BNA1025,RWE Power AG,Weisweiler,Nordrhein-Westfalen,1965,in Betrieb,Braunkohle,Nein,321.0
,BNA0239,Uniper Kraftwerke GmbH ,Huntorf,Niedersachsen,1978,in Betrieb,Erdgas,Nein,321.0
06-05-300-0877384,BNA1026,RWE Power AG,Weisweiler,Nordrhein-Westfalen,1967,in Betrieb,Braunkohle,Nein,321.0
06-05-100-0853075,BNA0989,Steag GmbH,KW West,Nordrhein-Westfalen,1971,in Betrieb,Steinkohle,Nein,318.0
06-05-900-0045033,BNA1037,Mark-E AG,Kraftwerk Werdohl-Elverlingsen,Nordrhein-Westfalen,1982,in Betrieb,Steinkohle,,310.0
,BNA0813,Uniper Kraftwerke GmbH ,Kraftwerk Veltheim,Nordrhein-Westfalen,1970,Endgültig Stillgelegt 2015 (mit StA),Steinkohle,Nein,303.0
06-04-11/2001178/8/0,BNA0146,swb Erzeugung GmbH & Co. KG,KW Hafen,Bremen,1979,in Betrieb,Steinkohle,Ja,300.0
06-05-300-0326774,BNA0706,RWE Power AG,Niederaußem,Nordrhein-Westfalen,1971,in Betrieb,Braunkohle,Nein,299.0
06-05-300-0326774,BNA0705,RWE Power AG,Niederaußem,Nordrhein-Westfalen,1968,in Betrieb,Braunkohle,Nein,297.0
06-05-300-0326774,BNA0713,RWE Power AG,Niederaußem,Nordrhein-Westfalen,1970,in Betrieb,Braunkohle,Nein,295.0
06-05-300-0326774,BNA0712,RWE Power AG,Niederaußem,Nordrhein-Westfalen,1965,in Betrieb,Braunkohle,Nein,295.0
06-05-100-0248923,BNA0697,RWE Power AG,Neurath,Nordrhein-Westfalen,1972,in Betrieb,Braunkohle,Nein,294.0
06-05-100-0248923,BNA0696,RWE Power AG,Neurath,Nordrhein-Westfalen,1972,in Betrieb,Braunkohle,Nein,294.0
,BNA0221c,Stadtwerke Düsseldorf AG,Gasblock,Nordrhein-Westfalen,1976,in Betrieb,Erdgas,Ja,293.0
06-00176010435,BNA0376,Uniper Kraftwerke GmbH ,Staudinger,Hessen,1970,Endgültig Stillgelegt 2012 (ohne StA),Steinkohle,Nein,293.0
06-05-100-0248923,BNA0698,RWE Power AG,Neurath,Nordrhein-Westfalen,1973,in Betrieb,Braunkohle,Nein,292.0
06-05-900-0079017,BNA0413a,RWE Generation SE,Westfalen,Nordrhein-Westfalen,1969,Endgültig Stillgelegt 2016 (mit StA),Steinkohle,Nein,284.0
06-05-100-0081105,BNA0313,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1966,in Betrieb,Braunkohle,Ja,284.0
06-10-0075248,BNA0252,Gemeinschaft nach Bruchteilen der Saarstahl AG (SAG) und Saarschmiede GmbH Freiformschmiede (SSF),Kraftwerk Ensdorf,Saarland,2001,in Betrieb,Steinkohle,Nein,283.0
06-11-01-1105609,BNA0086,Vattenfall Europe Wärme AG,Reuter West,Berlin,1987,in Betrieb,Steinkohle,Ja,282.0
06-11-01-1105609,BNA0087,Vattenfall Europe Wärme AG,Reuter West,Berlin,1988,in Betrieb,Steinkohle,Ja,282.0
06-05-900-0327252,BNA0449,Steag GmbH,KW Herne,Nordrhein-Westfalen,1966,in Betrieb,Steinkohle,Ja,280.0
06-05-100-0081105,BNA0314,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1970,in Betrieb,Braunkohle,Nein,278.0
,BNA1024,RWE Power AG,Weisweiler,Nordrhein-Westfalen,2006,Vorläufig Stillgelegt (ohne StA),Erdgas,Nein,272.0
,BNA1023,RWE Power AG,Weisweiler,Nordrhein-Westfalen,2006,Vorläufig Stillgelegt (ohne StA),Erdgas,Nein,272.0
,BNA0207,DREWAG Stadtwerke Dresden GmbH,HKW Dresden-Nossener Brücke,Sachsen,1995,in Betrieb,Erdgas,Ja,263.0
06-08-2948214,BNA0644,Grosskraftwerk Mannheim AG,GKM ,Baden-Württemberg,2005,in Betrieb,Steinkohle,Ja,255.0
06-00176010435,BNA0375,Uniper Kraftwerke GmbH ,Staudinger,Hessen,1965,Endgültig Stillgelegt 2013 (ohne StA),Steinkohle,Ja,249.0
,BNA0214,Stadtwerke Duisburg AG,HKW III/B,Nordrhein-Westfalen,2005,in Betrieb,Erdgas,Ja,234.0
,BNA0418,Stadtwerke Hannover AG,GKL,Niedersachsen,1998 / 2013,in Betrieb,Erdgas,Ja,230.0
,BNA0389,Mark-E AG,Heizkraftwerk Hagen-Kabel,Nordrhein-Westfalen,1980,Vorläufig Stillgelegt (mit StA),Erdgas,Ja,230.0
,BNA0074,Vattenfall Europe Wärme AG,Charlottenburg,Berlin,1975,in Betrieb,Erdgas,Ja,211.0
06-10-00101000,BNA0999,Saar GmbH,Heizkraftwerk,Saarland,1989,in Betrieb,Steinkohle,ja,211.0
06-08-2948214,BNA0643,Grosskraftwerk Mannheim AG,GKM ,Baden-Württemberg,1970,Endgültig Stillgelegt 2015 (mit StA),Steinkohle,Ja,202.5
06-08-2948214,BNA0642,Grosskraftwerk Mannheim AG,GKM ,Baden-Württemberg,1966,Endgültig Stillgelegt 2015 (mit StA),Steinkohle,Ja,202.5
,BNA0531,Energieservice Westfalen Weser GmbH,KW Kirchlengern,Nordrhein-Westfalen,1980,in Betrieb,Erdgas,Nein,201.5
06-02-B10132A001,BNA0402,Vattenfall Europe Wärme Aktiengesellschaft,Tiefstack,Hamburg,1993,in Betrieb,Steinkohle,Ja,194.0
,BNA0918a,Dow Deutschland Anlagengesellschaft mbH,Dow Stade,Niedersachsen,1972,Endgültig Stillgelegt 2014 (mit StA),Erdgas,Ja,190.0
06-05-900-0045033,BNA1035,Mark-E AG,Kraftwerk Werdohl-Elverlingsen,Nordrhein-Westfalen,1971,Endgültig Stillgelegt 2014 (mit StA),Steinkohle,,186.0
,BNA0504,Thüringer Energie AG,HKW Jena,Thüringen,1996,in Betrieb,Erdgas,Ja,182.0
06-10-00101000,BNA0998,Saar GmbH,Modellkraftwerk,Saarland,1982,in Betrieb,Steinkohle,ja,179.0
,BNA0918b,Dow Deutschland Anlagengesellschaft mbH,Dow Stade,Niedersachsen,2014,in Betrieb,Erdgas,Ja,173.0
,BNA0588,Stadtwerke Leipzig GmbH,Heizkraftwerk Leipzig-Nord,Sachsen,1996,in Betrieb,Erdgas,Ja,167.0
06-11-01-1105501,BNA0081,Vattenfall Europe Wärme Aktiengesellschaft,Klingenberg,Berlin,1981,in Betrieb,Braunkohle,Ja,164.0
,BNA0130,Uniper Kraftwerke GmbH ,Kirchmöser,Brandenburg,1994,in Betrieb,Erdgas,Nein,160.0
,BNA0140,swb Erzeugung GmbH & Co. KG,KW Hastedt,Bremen,1972,Vorläufig Stillgelegt (mit StA),Erdgas,Ja,155.0
06-05-900-0079017,BNA0415,RWE Generation SE,Westfalen,Nordrhein-Westfalen,1963,Endgültig Stillgelegt 2011 (ohne StA),Steinkohle,Nein,152.0
06-05-900-0079017,BNA0414,RWE Generation SE,Westfalen,Nordrhein-Westfalen,1963,Endgültig Stillgelegt 2011 (ohne StA),Steinkohle,Nein,152.0
06-05-900-0884101,BNA0618,Steag GmbH,KW Lünen,Nordrhein-Westfalen,1962,in Betrieb,Steinkohle,Nein,149.0
,BNA1006,EnBW Energie Baden-Württemberg AG,Kraftwerk Walheim,Baden-Württemberg,1967,Gesetzlich an Stilllegung gehindert,Steinkohle,Nein,148.0
,BNA0080,Vattenfall Europe Wärme AG,Lichterfelde,Berlin,1973,Endgültig Stillgelegt 2016 (mit StA),Erdgas,Ja,144.0
,BNA0075,Vattenfall Europe Wärme AG,Lichterfelde,Berlin,1972,in Betrieb,Erdgas,Ja,144.0
,BNA0076,Vattenfall Europe Wärme AG,Lichterfelde,Berlin,1974,in Betrieb,Erdgas,Ja,144.0
,BNA1076b,Volkswagen AG,HKW West,Niedersachsen,1985,in Betrieb,Steinkohle,Ja,138.5
,BNA1076a,Volkswagen AG,HKW West,Niedersachsen,1985,in Betrieb,Steinkohle,Ja,138.5
06-05-100-0081105,BNA0310,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1962,Endgültig Stillgelegt 2012 (ohne StA),Braunkohle,Nein,138.0
01-50-56050192711,BNA0404,Vattenfall Europe Wärme AG,Wedel,Schleswig-Holstein,1961,in Betrieb,Steinkohle,Ja,137.0
03-06-06060316030,BNA0420,Stadtwerke Hannover AG,GKH,Niedersachsen,1989,in Betrieb,Steinkohle,Ja,136.0
